,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Firmicutes Clostridia Clostridiales Eubacteriaceae,0,0,17,0,8,1,0,7,65,0,10,67,0,0,4,1,3,176,0,1,7,24,1,109,0,8,6,28,0,130
Firmicutes Clostridia Clostridiales Lachnospiraceae,42739,26804,8880,21979,5385,18999,36270,21650,8753,23346,3954,12774,37196,18036,12351,15668,1640,9454,32315,23064,12457,22863,3310,13159,32294,28423,9091,20389,2053,15663
Firmicutes Clostridia Clostridiales Peptostreptococcaceae,4,0,5,147,0,1,0,0,2,321,5,0,0,0,0,142,0,0,0,0,0,111,0,0,2,0,0,40,0,77
Firmicutes Clostridia Clostridiales Ruminococcaceae,7456,1941,1686,5347,841,2656,8793,2112,1888,7858,1271,2643,8487,1373,827,4921,392,2792,5132,2699,2159,9588,741,3251,4652,1237,2275,7671,309,2749
Firmicutes Clostridia Clostridiales unknown,2,72,33,7,15,339,1,69,48,15,23,125,0,54,111,1,6,289,13,118,36,55,4,92,0,167,56,62,0,96
Firmicutes Clostridia unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,4,14,85,32,90,135,4,7,129,17,190,403,6,1,7,25,20,86,3,1,128,49,20,707,2,0,114,33,374,174
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,837,502,1259,1228,4423,1762,865,522,1201,1546,4390,1670,877,618,1312,1664,12718,2428,781,543,1078,2248,6547,965,463,435,1661,1703,6752,2773
Firmicutes Erysipelotrichia Erysipelotrichales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,14,17,10,0,14,2,6,11,14,1,21,7,5,12,13,0,34,2,8,29,13,510,12,16,3,19,21,1784,41,31
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Veillonellales Veillonellaceae,2,0,0,0,0,0,1255,0,0,5,0,0,9,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes unknown unknown unknown,0,0,0,0,0,0,0,43,0,47,0,0,3,0,0,0,0,0,2,1,0,0,0,14,0,0,0,7,0,0
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Lentisphaerae Lentisphaeria Victivallales Victivallaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Kiloniellales Kiloniellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Boseaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Devosiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Pleomorphomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Stappiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Azospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingosinicellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
